iter	RMSE
0	13.68394417
1	13.24194969
2	12.82487535
3	12.4333202
4	12.05810852
5	11.70802974
6	11.33840889
7	11.03185995
8	10.69842302
9	10.37617195
10	10.05027393
11	9.769897595
12	9.455768654
13	9.154685495
14	8.875986658
15	8.585412338
16	8.320019149
17	8.110328562
18	7.870896936
19	7.628486994
20	7.407448709
21	7.176151002
22	6.954073784
23	6.743184974
24	6.544072767
25	6.344886248
26	6.161019644
27	5.993414055
28	5.81116387
29	5.646735673
30	5.481919849
31	5.321180672
32	5.181761945
33	5.036942252
34	4.903952504
35	4.771747338
36	4.642943274
37	4.52800157
38	4.40293812
39	4.28169875
40	4.177348089
41	4.069240559
42	3.957848159
43	3.86810268
44	3.765447532
45	3.66197096
46	3.573746567
47	3.484976374
48	3.39881165
49	3.312809535
50	3.230822162
51	3.155689737
52	3.082835688
53	3.015555552
54	2.945995566
55	2.878364725
56	2.809210305
57	2.751445329
58	2.691363433
59	2.627733173
60	2.57295194
61	2.522798827
62	2.473043079
63	2.433228001
64	2.382744859
65	2.339818745
66	2.297105221
67	2.257412271
68	2.218179179
69	2.178726615
70	2.144178581
71	2.11472764
72	2.081153855
73	2.04855866
74	2.019992605
75	1.992415042
76	1.961686995
77	1.930124964
78	1.90374963
79	1.876977691
80	1.849885601
81	1.82443015
82	1.801373751
83	1.779694379
84	1.759689981
85	1.740827138
86	1.720276636
87	1.701132427
88	1.68294054
89	1.663050276
90	1.64621645
91	1.629361827
92	1.613839275
93	1.597296578
94	1.581567226
95	1.565916784
96	1.551243936
97	1.537507661
98	1.523865012
99	1.511840719
100	1.498600105
101	1.487672792
102	1.4763624
103	1.465284609
104	1.454406463
105	1.444034098
106	1.434087701
107	1.424126134
108	1.415276133
109	1.407386336
110	1.399430894
111	1.390794011
112	1.383576473
113	1.3758197
114	1.368353562
115	1.36119219
116	1.35579147
117	1.349878854
118	1.343608778
119	1.337360254
120	1.331828705
121	1.326052596
122	1.32039264
123	1.315248994
124	1.309201816
125	1.304446632
126	1.300535029
127	1.295928328
128	1.291190782
129	1.286921966
130	1.282411558
131	1.278108567
132	1.274934833
133	1.271095114
134	1.268236239
135	1.264959079
136	1.260904226
137	1.257495036
138	1.25381794
139	1.249965428
140	1.245995171
141	1.242844557
142	1.24006533
143	1.236665306
144	1.233672901
145	1.230990686
146	1.228914058
147	1.226155952
148	1.222676696
149	1.219757715
150	1.216536881
151	1.213499839
152	1.212163645
153	1.209857741
154	1.207474099
155	1.206629245
156	1.204199596
157	1.201709707
158	1.199276202
159	1.197263801
160	1.19466163
161	1.193038753
162	1.190854409
163	1.188292766
164	1.185003874
165	1.182892263
166	1.180877179
167	1.179184292
168	1.176929022
169	1.175463773
170	1.173580106
171	1.17205431
172	1.170890425
173	1.168682568
174	1.168276577
175	1.166822568
176	1.166090749
177	1.16530217
178	1.162412651
179	1.160989314
180	1.160750165
181	1.159517011
182	1.157771653
183	1.155895165
184	1.153892124
185	1.151575829
186	1.150049645
187	1.148332705
188	1.147960794
189	1.146560574
190	1.145246281
191	1.144965052
192	1.142704542
193	1.141493577
194	1.139215019
195	1.138122379
196	1.136855507
197	1.134998315
198	1.133491428
199	1.131159289
200	1.130266731
201	1.128013424
202	1.126468502
203	1.125443546
204	1.123413258
205	1.122592388
206	1.120836869
207	1.119774318
208	1.11926637
209	1.117904424
210	1.116623914
211	1.114792285
212	1.11246002
213	1.112267424
214	1.111099684
215	1.108961914
216	1.107857377
217	1.106313591
218	1.105155272
219	1.10394863
220	1.103606733
221	1.102111673
222	1.100714995
223	1.099589527
224	1.098902338
225	1.097846392
226	1.096502352
227	1.096097491
228	1.095904969
229	1.094240992
230	1.093071452
231	1.091573898
232	1.090869128
233	1.089869343
234	1.088149587
235	1.087252951
236	1.085174771
237	1.084662417
238	1.083796825
239	1.083232864
240	1.082654396
241	1.080911807
242	1.079502628
243	1.078813119
244	1.078018525
245	1.076188849
246	1.075623277
247	1.074461348
248	1.073443758
249	1.07178515
250	1.070822735
251	1.070305646
252	1.069648023
253	1.069202643
254	1.067943759
255	1.067107172
256	1.066596625
257	1.065821069
258	1.065477717
259	1.064207541
260	1.062698583
261	1.062617958
262	1.061031015
263	1.059206081
264	1.058160235
265	1.056751146
266	1.055999856
267	1.054640703
268	1.053381924
269	1.051768065
270	1.050789992
271	1.050146996
272	1.049128333
273	1.048130612
274	1.046153685
275	1.04499435
276	1.044096885
277	1.043529908
278	1.042550874
279	1.041492396
280	1.040805315
281	1.038949192
282	1.038226153
283	1.037449429
284	1.03597435
285	1.035816994
286	1.035013332
287	1.033767478
288	1.032370083
289	1.030965023
290	1.030495948
291	1.029611989
292	1.028560486
293	1.028021673
294	1.027277191
295	1.026642716
296	1.025289757
297	1.024316006
298	1.022362914
299	1.021629886
300	1.020405918
301	1.019192895
302	1.018033926
303	1.01630741
304	1.015085011
305	1.013791439
306	1.013021765
307	1.011835381
308	1.010598944
309	1.009917367
310	1.009068648
311	1.008205083
312	1.006204608
313	1.005861953
314	1.004768687
315	1.003663132
316	1.002332085
317	1.000563585
318	0.998316762
319	0.9975395705
320	0.9965976657
321	0.9955286913
322	0.9937666894
323	0.9926029191
