iter	Passed	Remaining
0	143	142971
1	143	71804
2	144	48060
3	145	36245
4	146	29149
5	147	24399
6	148	21083
7	149	18542
8	150	16576
9	151	14989
10	152	13715
11	153	12618
12	154	11704
13	154	10908
14	155	10215
15	156	9607
16	156	9073
17	157	8583
18	157	8155
19	158	7773
20	159	7424
21	159	7110
22	160	6821
23	161	6559
24	161	6315
25	162	6091
26	163	5881
27	163	5685
28	164	5505
29	165	5337
30	165	5186
31	166	5038
32	167	4901
33	167	4770
34	168	4647
35	169	4536
36	170	4426
37	170	4321
38	171	4222
39	171	4127
40	172	4037
41	173	3951
42	173	3872
43	174	3796
44	175	3721
45	176	3657
46	177	3594
47	178	3532
48	178	3470
49	179	3410
50	180	3351
51	180	3299
52	181	3246
53	182	3194
54	183	3148
55	183	3099
56	184	3053
57	185	3007
58	185	2963
59	186	2921
60	187	2879
61	187	2840
62	188	2801
63	188	2763
64	189	2726
65	190	2691
66	190	2656
67	191	2623
68	192	2591
69	192	2559
70	193	2529
71	193	2499
72	194	2471
73	195	2443
74	195	2417
75	196	2390
76	197	2364
77	197	2340
78	198	2317
79	199	2294
80	200	2274
81	201	2251
82	201	2230
83	202	2208
84	203	2186
85	203	2165
86	204	2145
87	205	2126
88	205	2105
89	206	2087
90	206	2067
91	207	2049
92	208	2030
93	208	2012
94	209	1995
95	210	1977
96	210	1961
97	211	1944
98	211	1928
99	212	1913
100	213	1898
101	213	1883
102	214	1869
103	215	1855
104	216	1841
105	216	1827
106	217	1813
107	217	1799
108	218	1786
109	219	1774
110	220	1762
111	220	1749
112	221	1736
113	221	1724
114	222	1712
115	223	1700
116	223	1688
117	224	1676
118	224	1664
119	225	1653
120	226	1642
121	226	1630
122	227	1619
123	227	1609
124	228	1600
125	229	1590
126	230	1583
127	231	1575
128	231	1565
129	232	1556
130	233	1546
131	233	1536
132	234	1527
133	234	1517
134	235	1508
135	236	1499
136	236	1490
137	237	1482
138	238	1474
139	238	1465
140	239	1457
141	239	1449
142	240	1440
143	241	1432
144	241	1424
145	242	1417
146	242	1409
147	243	1402
148	244	1394
149	244	1388
150	245	1380
151	246	1373
152	246	1365
153	247	1358
154	247	1351
155	248	1342
156	248	1335
157	249	1329
158	250	1323
159	250	1316
160	251	1309
161	251	1302
162	252	1296
163	253	1289
164	253	1283
165	254	1276
166	254	1270
167	255	1264
168	255	1258
169	256	1252
170	257	1247
171	257	1241
172	258	1236
173	259	1230
174	259	1224
175	260	1218
176	260	1213
177	261	1207
178	262	1201
179	262	1196
180	262	1189
181	263	1184
182	264	1179
183	264	1174
184	265	1168
185	265	1163
186	266	1159
187	267	1154
188	267	1149
189	268	1145
190	269	1140
191	269	1134
192	270	1130
193	271	1126
194	271	1122
195	272	1118
196	273	1114
197	274	1110
198	274	1106
199	275	1102
200	276	1098
201	276	1094
202	277	1090
203	278	1085
204	278	1081
205	279	1076
206	279	1072
207	280	1068
208	281	1064
209	281	1059
210	282	1055
211	282	1051
212	283	1047
213	283	1042
214	284	1038
215	285	1034
216	285	1030
217	286	1026
218	287	1023
219	287	1020
220	288	1016
221	289	1013
222	289	1009
223	290	1005
224	290	1002
225	291	998
226	292	994
227	292	990
228	293	987
229	293	983
230	294	979
231	294	975
232	295	972
233	295	968
234	296	965
235	297	961
236	297	957
237	298	955
238	298	951
239	299	948
240	299	944
241	300	941
242	301	937
243	301	934
244	302	931
245	302	928
246	303	925
247	304	923
248	305	919
249	305	916
250	306	913
251	306	910
252	307	907
253	307	904
254	308	901
