iter	RMSE
0	13.62713002
1	13.19885106
2	12.78650796
3	12.38057321
4	11.95743907
5	11.61218127
6	11.25657028
7	10.94713477
8	10.62122905
9	10.31360305
10	9.987312773
11	9.716295469
12	9.401308259
13	9.107010831
14	8.829762159
15	8.559495875
16	8.29673031
17	8.085258418
18	7.857092133
19	7.620752195
20	7.40331555
21	7.171126475
22	6.959322214
23	6.747869448
24	6.550380687
25	6.355621601
26	6.169961558
27	6.005308896
28	5.829356432
29	5.674975265
30	5.513443414
31	5.354328196
32	5.224983572
33	5.078909317
34	4.94336532
35	4.814161316
36	4.68917354
37	4.569840707
38	4.450311505
39	4.330823762
40	4.226620445
41	4.128258229
42	4.015999587
43	3.915364946
44	3.810518101
45	3.708034725
46	3.623174994
47	3.541058034
48	3.456773522
49	3.373566508
50	3.300729144
51	3.224228601
52	3.151703068
53	3.086459592
54	3.011074004
55	2.937867447
56	2.87127392
57	2.812438253
58	2.752740055
59	2.688703195
60	2.63228509
61	2.578297294
62	2.529108849
63	2.483040107
64	2.433833531
65	2.389217434
66	2.345624203
67	2.30368789
68	2.268115447
69	2.231142754
70	2.194062358
71	2.161485306
72	2.128824857
73	2.094067932
74	2.061444314
75	2.034002225
76	2.00184598
77	1.967722426
78	1.942860121
79	1.913747163
80	1.88988023
81	1.863183425
82	1.841453465
83	1.818431967
84	1.798617962
85	1.773500256
86	1.755249998
87	1.735039864
88	1.71536537
89	1.694180355
90	1.677494523
91	1.65865372
92	1.642363221
93	1.624614619
94	1.609981118
95	1.594888293
96	1.57977949
97	1.564444112
98	1.549966285
99	1.536569825
100	1.523107881
101	1.510310385
102	1.498604283
103	1.485622604
104	1.475591907
105	1.463191942
106	1.452730472
107	1.442540048
108	1.431923266
109	1.422769324
110	1.413433428
111	1.404338433
112	1.396479814
113	1.388647708
114	1.380523098
115	1.373322291
116	1.366134441
117	1.358700102
118	1.352767535
119	1.345825492
120	1.339287572
121	1.333553626
122	1.328571755
123	1.323087761
124	1.31770322
125	1.312995916
126	1.308124471
127	1.303026911
128	1.298339676
129	1.293930136
130	1.288628393
131	1.284024409
132	1.279375187
133	1.275044904
134	1.271111766
135	1.266941721
136	1.263586435
137	1.259791579
138	1.256570623
139	1.252894646
140	1.249093055
141	1.246010136
142	1.242744872
143	1.239415652
144	1.236583322
145	1.233872358
146	1.230824579
147	1.227746005
148	1.224805851
149	1.221879824
150	1.21891361
151	1.216167604
152	1.213666201
153	1.211500077
154	1.208854407
155	1.206606984
156	1.204552881
157	1.202348097
158	1.20106221
159	1.198393155
160	1.195748089
161	1.194143987
162	1.192215711
163	1.190328735
164	1.187444167
165	1.184925746
166	1.182575274
167	1.180150132
168	1.178167461
169	1.17615649
170	1.174389785
171	1.172991368
172	1.17075802
173	1.169006725
174	1.167740575
175	1.166131235
176	1.16444765
177	1.162505
178	1.161985769
179	1.16094042
180	1.160397625
181	1.158819274
182	1.157563599
183	1.155714895
184	1.154038892
185	1.152498669
186	1.15128971
187	1.150299371
188	1.149140375
189	1.14805916
190	1.146509511
191	1.144817022
192	1.14319235
193	1.141566276
194	1.139292256
195	1.137933823
196	1.135927717
197	1.134193775
198	1.132622007
199	1.131825513
200	1.130800514
201	1.12863019
202	1.127613582
203	1.126445731
204	1.124979942
205	1.123661047
206	1.122400403
207	1.120940173
208	1.120484641
209	1.118689589
210	1.11744053
211	1.115906909
212	1.114339482
213	1.112861289
214	1.111631781
215	1.110048039
216	1.109342769
217	1.108230938
218	1.10749711
219	1.107057675
220	1.105913496
221	1.104681962
222	1.104131709
223	1.103644879
