iter	Passed	Remaining
0	1	1693
1	3	1709
2	5	1716
3	6	1553
4	7	1408
5	7	1288
6	8	1206
7	9	1125
8	9	1065
9	10	1019
10	10	972
11	11	938
12	11	910
13	12	884
14	13	880
15	14	870
16	14	855
17	15	829
18	15	815
19	16	803
20	16	788
21	17	778
22	18	767
23	18	761
24	19	756
25	19	746
26	20	740
27	21	736
28	21	731
29	22	725
30	23	720
31	23	716
32	24	713
33	25	715
34	25	711
35	26	707
36	27	703
37	27	699
38	28	695
39	29	701
40	29	701
41	30	697
42	31	693
43	31	688
44	32	684
45	32	682
46	33	679
47	34	674
48	34	670
49	35	668
50	35	665
51	36	661
52	36	658
53	37	656
54	37	652
55	38	648
56	39	645
57	39	641
58	40	639
59	40	637
60	41	635
61	41	633
62	42	632
63	43	629
64	43	628
65	44	627
66	45	626
67	45	626
68	46	625
69	47	625
70	47	625
71	48	623
72	49	622
73	49	620
74	50	618
75	50	617
76	51	615
77	52	614
78	52	613
79	53	611
80	53	611
81	54	610
82	55	609
83	55	607
84	56	605
85	56	604
86	57	604
87	58	605
88	59	604
89	59	604
90	60	602
91	60	601
92	61	600
93	62	599
94	62	598
95	63	597
96	64	596
97	64	595
98	65	594
99	65	593
100	66	592
101	67	591
102	67	590
103	68	590
104	69	588
105	69	587
106	70	586
107	70	585
108	71	584
109	72	588
110	73	591
111	74	591
112	75	590
113	75	589
114	76	589
115	77	590
116	78	589
117	78	589
118	79	588
119	80	588
120	80	587
121	81	586
122	82	585
123	82	584
124	83	584
125	84	583
126	84	582
127	85	582
128	86	582
129	86	581
130	87	581
131	88	582
132	89	582
133	90	582
134	90	581
135	91	581
136	92	580
137	92	579
138	93	578
139	94	579
140	95	579
141	95	579
142	96	578
143	97	578
144	97	577
145	98	578
146	99	577
147	100	576
148	100	575
149	101	574
150	102	574
151	103	579
152	104	579
153	105	578
154	105	577
155	106	576
156	107	575
157	107	575
158	108	574
159	109	573
160	109	572
161	110	572
162	111	571
163	111	570
164	112	569
165	113	568
166	113	567
167	114	566
168	115	565
169	115	564
170	116	563
171	116	563
172	117	562
173	118	562
174	119	561
175	119	560
176	120	559
177	120	558
178	121	555
179	121	554
180	122	553
181	122	552
182	123	551
183	124	550
184	124	549
185	125	548
186	126	548
187	126	547
188	127	546
189	127	545
190	128	544
191	129	543
192	129	542
193	130	542
194	131	541
195	131	540
196	132	539
197	133	538
198	133	538
199	134	537
200	135	536
201	135	535
202	136	535
203	136	534
204	137	533
205	138	532
206	138	531
207	139	530
208	140	530
209	140	530
210	141	529
211	142	528
212	142	527
213	143	527
214	144	526
215	144	525
216	145	524
217	146	523
218	146	523
219	147	524
220	148	523
221	149	522
222	149	521
223	150	520
224	150	519
225	151	519
226	152	518
227	152	518
228	153	517
229	154	516
230	154	515
231	155	514
232	156	514
233	156	513
234	157	512
235	158	511
236	158	511
237	159	510
238	160	509
239	160	509
240	161	509
241	162	508
242	163	508
243	163	507
244	164	506
245	165	505
246	165	505
247	166	504
248	166	503
249	167	502
250	168	501
251	168	500
252	169	499
253	169	499
254	170	498
255	171	497
256	171	496
257	172	495
258	172	494
259	173	493
260	174	492
261	174	492
262	175	491
263	176	491
264	176	490
265	177	489
266	178	489
267	178	488
268	179	487
269	180	486
270	180	485
271	181	485
272	181	483
273	182	482
274	182	481
275	183	480
276	184	480
277	184	479
278	185	479
279	186	478
280	186	477
281	187	476
282	187	476
283	188	475
284	189	474
285	189	474
286	190	473
287	194	481
288	195	480
289	196	480
290	196	479
291	197	477
292	197	476
293	198	476
294	198	475
295	199	474
296	200	473
297	200	472
298	201	472
299	201	471
300	202	470
301	203	469
302	203	468
303	204	467
304	205	467
305	205	466
306	206	466
307	207	465
308	207	464
309	208	464
310	209	463
311	209	462
312	210	461
313	210	460
314	211	459
315	212	459
316	212	458
317	213	457
318	213	456
319	214	455
320	215	455
321	216	454
322	216	454
323	217	453
324	218	452
325	218	452
326	219	451
327	219	450
328	220	450
329	221	449
330	222	449
331	222	448
332	223	447
333	224	446
334	224	446
335	225	445
336	226	444
337	226	444
338	227	443
339	227	442
340	228	441
341	229	440
342	229	440
343	230	439
344	230	438
345	231	437
346	232	437
347	232	436
348	233	435
349	234	434
350	234	434
351	235	433
352	236	432
353	236	431
354	237	431
355	237	430
356	238	429
357	238	428
358	239	427
359	239	426
360	240	425
361	241	424
362	241	424
363	242	423
364	242	422
365	243	422
366	244	421
367	245	421
368	246	420
369	246	419
370	247	419
371	248	419
372	249	419
373	250	418
374	251	418
375	251	417
376	252	417
377	253	416
378	253	415
379	254	415
380	255	414
381	255	413
382	256	413
383	257	412
384	257	411
385	258	411
386	259	410
387	259	409
388	260	409
389	261	408
390	261	407
391	262	406
392	262	406
393	263	405
394	264	404
395	279	425
396	279	424
397	280	424
398	281	423
399	282	423
400	282	422
401	283	421
402	284	420
403	284	420
404	285	419
405	285	418
406	286	417
407	287	417
408	288	416
409	288	415
410	289	414
411	289	413
412	290	413
413	291	412
414	292	411
415	292	411
416	293	410
417	294	409
418	294	408
419	295	407
420	296	407
421	296	406
422	297	405
423	298	405
424	298	404
425	299	403
426	300	402
427	300	401
428	301	401
429	301	400
430	302	399
431	303	398
432	304	398
433	304	397
434	305	396
435	306	396
436	306	395
437	307	394
438	308	393
439	308	393
440	309	392
441	310	391
442	310	390
443	311	390
444	312	389
445	313	388
446	313	387
447	314	387
448	314	386
449	315	385
450	316	384
451	316	383
452	317	383
453	317	382
454	318	381
455	319	380
456	319	379
457	320	379
458	320	378
459	321	377
460	322	376
461	322	375
462	323	374
463	323	374
464	324	373
465	325	372
466	326	372
467	326	371
468	327	370
469	328	369
470	328	369
471	329	368
472	329	367
473	330	366
474	331	365
475	331	365
476	332	364
477	332	363
478	333	362
479	333	361
480	334	360
481	335	360
482	335	359
483	336	358
484	337	357
485	337	357
486	338	356
487	338	355
488	339	354
489	340	354
490	340	353
491	341	352
492	342	351
493	342	351
494	343	350
495	344	349
496	344	348
497	345	348
498	346	347
499	346	346
500	347	345
501	347	345
502	348	344
503	349	343
504	349	342
505	350	342
506	350	341
507	351	340
508	352	339
509	353	339
510	353	338
511	354	337
512	355	337
513	355	336
514	356	335
515	357	335
516	357	334
517	358	333
518	359	332
519	359	332
520	360	331
521	360	330
522	361	329
523	362	329
524	362	328
525	363	327
526	364	326
527	364	326
528	365	325
529	366	324
530	366	324
531	367	323
532	368	322
533	368	321
534	369	321
535	370	320
536	371	319
537	371	319
538	372	318
539	373	317
540	373	317
541	374	316
542	375	315
543	375	314
544	376	314
545	376	313
546	377	312
547	378	311
548	378	311
549	379	310
550	380	309
551	380	309
552	381	308
553	382	307
554	382	306
555	383	306
556	384	305
557	384	304
558	385	304
559	386	303
560	387	303
561	388	302
562	388	301
563	389	300
564	389	300
565	390	299
566	390	298
567	391	297
568	392	297
569	392	296
570	393	295
571	394	294
572	394	294
573	395	293
574	396	292
575	396	291
576	397	291
577	397	290
578	398	289
579	399	289
580	399	288
581	400	287
582	401	287
583	402	286
584	402	285
585	403	284
586	403	284
587	404	283
588	405	282
589	405	281
590	406	281
591	407	280
592	407	279
593	408	279
594	409	278
595	409	277
596	410	277
597	411	276
598	411	275
599	412	274
600	412	274
601	413	273
602	414	272
603	415	272
604	415	271
605	416	270
606	416	269
607	417	269
608	418	268
609	418	267
610	419	267
611	419	266
612	420	265
613	421	264
614	421	264
615	422	263
616	423	262
617	423	261
618	424	261
619	424	260
620	425	259
621	426	258
622	426	258
623	427	257
624	428	256
625	428	256
626	429	255
627	430	254
628	430	254
629	431	253
630	431	252
631	432	251
632	433	251
633	433	250
634	434	249
635	434	248
636	435	248
637	436	247
638	436	246
639	437	246
640	438	245
641	438	244
642	439	243
643	439	243
644	440	242
645	441	241
646	441	241
647	442	240
648	443	239
649	444	239
650	444	238
651	445	237
652	446	237
653	446	236
654	447	235
655	447	234
656	448	234
657	449	233
658	449	232
659	450	232
660	450	231
661	451	230
662	452	229
663	452	229
664	453	228
665	454	227
666	454	227
667	455	226
668	456	225
669	456	225
670	457	224
671	458	223
672	459	223
673	459	222
674	460	221
675	461	221
676	461	220
677	462	219
678	463	218
679	463	218
680	464	217
681	464	216
682	465	216
683	466	215
684	467	214
685	467	214
686	468	213
687	469	212
688	469	211
689	470	211
690	470	210
691	471	209
692	472	209
693	472	208
694	473	207
695	474	207
696	475	206
697	475	205
698	476	205
699	476	204
700	477	203
701	478	202
702	478	202
703	479	201
704	479	200
705	480	200
706	481	199
707	481	198
708	482	197
709	482	197
710	483	196
711	484	195
712	485	195
713	485	194
714	486	193
715	486	193
716	487	192
717	488	191
718	489	191
719	489	190
720	490	189
721	491	189
722	491	188
723	492	187
724	493	187
725	493	186
726	494	185
727	494	184
728	495	184
729	496	183
730	496	182
731	497	182
732	498	181
733	498	180
734	499	179
735	499	179
736	500	178
737	501	177
738	501	177
739	502	176
740	502	175
741	503	175
742	504	174
743	504	173
744	505	172
745	505	172
746	506	171
747	507	170
748	507	170
749	508	169
750	508	168
751	509	168
752	510	167
753	510	166
754	511	165
755	511	165
756	512	164
757	513	163
758	514	163
759	514	162
760	515	161
761	516	161
762	516	160
763	517	159
764	518	159
765	518	158
766	519	157
767	520	157
768	521	156
769	521	155
770	522	155
771	522	154
772	523	153
773	524	153
774	524	152
775	525	151
776	526	151
777	526	150
778	527	149
779	527	148
780	528	148
781	529	147
782	529	146
783	530	146
784	530	145
785	531	144
786	532	144
787	533	143
788	533	142
789	534	142
790	534	141
791	535	140
792	536	139
793	536	139
794	537	138
795	537	137
796	538	137
797	539	136
798	539	135
799	540	135
800	541	134
801	541	133
802	542	133
803	542	132
804	543	131
805	543	130
806	544	130
807	545	129
808	545	128
809	546	128
810	547	127
811	548	126
812	549	126
813	549	125
814	550	124
815	551	124
816	551	123
817	552	122
818	553	122
819	554	121
820	554	120
821	555	120
822	555	119
823	556	118
824	556	118
825	557	117
826	558	116
827	559	116
828	560	115
829	561	114
830	561	114
831	562	113
832	563	112
833	563	112
834	564	111
835	564	110
836	565	110
837	566	109
838	566	108
839	567	108
840	567	107
841	568	106
842	569	105
843	569	105
844	570	104
845	571	103
846	571	103
847	572	102
848	573	101
849	573	101
850	574	100
851	575	99
852	575	99
853	576	98
854	577	97
855	577	97
856	578	96
857	579	95
858	579	95
859	580	94
860	580	93
861	581	93
862	582	92
863	582	91
864	583	91
865	584	90
866	584	89
867	585	89
868	585	88
869	586	87
870	587	86
871	587	86
872	588	85
873	589	84
874	589	84
875	590	83
876	591	82
877	591	82
878	592	81
879	593	80
880	593	80
881	594	79
882	595	78
883	595	78
884	596	77
885	596	76
886	597	76
887	597	75
888	598	74
889	599	74
890	599	73
891	600	72
892	600	72
893	601	71
894	602	70
895	602	69
896	603	69
897	604	68
898	604	67
899	605	67
900	605	66
901	606	65
902	607	65
903	607	64
904	608	63
905	608	63
906	609	62
907	610	61
908	610	61
909	611	60
910	611	59
911	612	59
912	612	58
913	613	57
914	613	57
915	614	56
916	615	55
917	615	55
918	616	54
919	617	53
920	617	52
921	618	52
922	618	51
923	619	50
924	620	50
925	620	49
926	621	48
927	622	48
928	622	47
929	623	46
930	624	46
931	624	45
932	625	44
933	626	44
934	626	43
935	627	42
936	627	42
937	628	41
938	629	40
939	629	40
940	630	39
941	631	38
942	632	38
943	632	37
944	633	36
945	633	36
946	634	35
947	635	34
948	635	34
949	636	33
950	637	32
951	637	32
952	638	31
953	639	30
954	639	30
955	640	29
956	640	28
957	641	28
958	642	27
959	643	26
960	643	26
961	644	25
962	645	24
963	645	24
964	646	23
965	646	22
966	647	22
967	648	21
968	648	20
969	649	20
970	649	19
971	650	18
972	651	18
973	651	17
974	652	16
975	652	16
976	653	15
977	653	14
978	654	14
979	655	13
980	655	12
981	656	12
982	656	11
983	657	10
984	657	10
985	658	9
986	659	8
987	659	8
988	660	7
989	661	6
990	661	6
991	662	5
992	662	4
993	663	4
994	664	3
995	664	2
996	665	2
997	665	1
998	666	0
999	667	0
